Rank,Country,Quality of Life Index,Properties,Value,Continent
1,Austria,190.37,Purchasing Power Index,95.66,Europe
1,Austria,190.37,Safety Index,80.75,Europe
1,Austria,190.37,Health Care Index,80.91,Europe
1,Austria,190.37,Cost of Living Index,71.52,Europe
1,Austria,190.37,Property Price to Income Ratio,9.66,Europe
1,Austria,190.37,Traffic Commute Time Index,26.27,Europe
1,Austria,190.37,Pollution Index,21.9,Europe
1,Austria,190.37,Climate Index,62.13,Europe
2,Germany,189.74,Purchasing Power Index,124.88,Europe
2,Germany,189.74,Safety Index,67.97,Europe
2,Germany,189.74,Health Care Index,76.74,Europe
2,Germany,189.74,Cost of Living Index,65.5,Europe
2,Germany,189.74,Property Price to Income Ratio,7.46,Europe
2,Germany,189.74,Traffic Commute Time Index,30.55,Europe
2,Germany,189.74,Pollution Index,27.05,Europe
2,Germany,189.74,Climate Index,57.97,Europe
3,Denmark,184.92,Purchasing Power Index,98.76,Europe
3,Denmark,184.92,Safety Index,78.87,Europe
3,Denmark,184.92,Health Care Index,75.45,Europe
3,Denmark,184.92,Cost of Living Index,83.02,Europe
3,Denmark,184.92,Property Price to Income Ratio,8.2,Europe
3,Denmark,184.92,Traffic Commute Time Index,28.42,Europe
3,Denmark,184.92,Pollution Index,25.97,Europe
3,Denmark,184.92,Climate Index,64.24,Europe
4,New Zealand,184.74,Purchasing Power Index,89.87,Oceania
4,New Zealand,184.74,Safety Index,61.22,Oceania
4,New Zealand,184.74,Health Care Index,70.58,Oceania
4,New Zealand,184.74,Cost of Living Index,80.77,Oceania
4,New Zealand,184.74,Property Price to Income Ratio,8.14,Oceania
4,New Zealand,184.74,Traffic Commute Time Index,30.23,Oceania
4,New Zealand,184.74,Pollution Index,20.03,Oceania
4,New Zealand,184.74,Climate Index,85.41,Oceania
5,Spain,183.65,Purchasing Power Index,87.87,Europe
5,Spain,183.65,Safety Index,68.72,Europe
5,Spain,183.65,Health Care Index,76.65,Europe
5,Spain,183.65,Cost of Living Index,54.98,Europe
5,Spain,183.65,Property Price to Income Ratio,8.26,Europe
5,Spain,183.65,Traffic Commute Time Index,32.63,Europe
5,Spain,183.65,Pollution Index,37.46,Europe
5,Spain,183.65,Climate Index,88.04,Europe
6,Finland,182.93,Purchasing Power Index,114.97,Europe
6,Finland,182.93,Safety Index,75.37,Europe
6,Finland,182.93,Health Care Index,74.85,Europe
6,Finland,182.93,Cost of Living Index,73.06,Europe
6,Finland,182.93,Property Price to Income Ratio,7.6,Europe
6,Finland,182.93,Traffic Commute Time Index,34.92,Europe
6,Finland,182.93,Pollution Index,13.38,Europe
6,Finland,182.93,Climate Index,35.83,Europe
7,United States,179.73,Purchasing Power Index,123.17,North and South America
7,United States,179.73,Safety Index,51.24,North and South America
7,United States,179.73,Health Care Index,68.22,North and South America
7,United States,179.73,Cost of Living Index,75.42,North and South America
7,United States,179.73,Property Price to Income Ratio,3.26,North and South America
7,United States,179.73,Traffic Commute Time Index,34.58,North and South America
7,United States,179.73,Pollution Index,31.19,North and South America
7,United States,179.73,Climate Index,67.95,North and South America
8,Portugal,178.43,Purchasing Power Index,62.72,Others
8,Portugal,178.43,Safety Index,64.61,Others
8,Portugal,178.43,Health Care Index,70.31,Others
8,Portugal,178.43,Cost of Living Index,49.19,Others
8,Portugal,178.43,Property Price to Income Ratio,8.85,Others
8,Portugal,178.43,Traffic Commute Time Index,30.44,Others
8,Portugal,178.43,Pollution Index,28.91,Others
8,Portugal,178.43,Climate Index,92.19,Others
9,Australia,176.54,Purchasing Power Index,101.94,Oceania
9,Australia,176.54,Safety Index,57.58,Oceania
9,Australia,176.54,Health Care Index,74.25,Oceania
9,Australia,176.54,Cost of Living Index,80.66,Oceania
9,Australia,176.54,Property Price to Income Ratio,9.24,Oceania
9,Australia,176.54,Traffic Commute Time Index,34.73,Oceania
9,Australia,176.54,Pollution Index,24.58,Oceania
9,Australia,176.54,Climate Index,72.79,Oceania
10,Slovenia,175.45,Purchasing Power Index,78.23,Europe
10,Slovenia,175.45,Safety Index,75.95,Europe
10,Slovenia,175.45,Health Care Index,64.35,Europe
10,Slovenia,175.45,Cost of Living Index,53.24,Europe
10,Slovenia,175.45,Property Price to Income Ratio,8.34,Europe
10,Slovenia,175.45,Traffic Commute Time Index,26.48,Europe
10,Slovenia,175.45,Pollution Index,26.37,Europe
10,Slovenia,175.45,Climate Index,60.5,Europe
11,Netherlands,175.23,Purchasing Power Index,86.52,Europe
11,Netherlands,175.23,Safety Index,70.11,Europe
11,Netherlands,175.23,Health Care Index,82.5,Europe
11,Netherlands,175.23,Cost of Living Index,72.47,Europe
11,Netherlands,175.23,Property Price to Income Ratio,8.52,Europe
11,Netherlands,175.23,Traffic Commute Time Index,33.9,Europe
11,Netherlands,175.23,Pollution Index,27.62,Europe
11,Netherlands,175.23,Climate Index,61.87,Europe
12,Switzerland,173.54,Purchasing Power Index,95.35,Europe
12,Switzerland,173.54,Safety Index,77.55,Europe
12,Switzerland,173.54,Health Care Index,71.04,Europe
12,Switzerland,173.54,Cost of Living Index,122.06,Europe
12,Switzerland,173.54,Property Price to Income Ratio,14.04,Europe
12,Switzerland,173.54,Traffic Commute Time Index,28.3,Europe
12,Switzerland,173.54,Pollution Index,20.77,Europe
12,Switzerland,173.54,Climate Index,69.32,Europe
13,United Kingdom,172.87,Purchasing Power Index,96.85,Europe
13,United Kingdom,172.87,Safety Index,58.81,Europe
13,United Kingdom,172.87,Health Care Index,74.28,Europe
13,United Kingdom,172.87,Cost of Living Index,69.49,Europe
13,United Kingdom,172.87,Property Price to Income Ratio,10,Europe
13,United Kingdom,172.87,Traffic Commute Time Index,34.6,Europe
13,United Kingdom,172.87,Pollution Index,34.88,Europe
13,United Kingdom,172.87,Climate Index,78.91,Europe
14,Sweden,172.74,Purchasing Power Index,107.23,Europe
14,Sweden,172.74,Safety Index,53.35,Europe
14,Sweden,172.74,Health Care Index,70.64,Europe
14,Sweden,172.74,Cost of Living Index,75.88,Europe
14,Sweden,172.74,Property Price to Income Ratio,11.77,Europe
14,Sweden,172.74,Traffic Commute Time Index,31.6,Europe
14,Sweden,172.74,Pollution Index,17.87,Europe
14,Sweden,172.74,Climate Index,59.13,Europe
15,Estonia,171.09,Purchasing Power Index,68.48,Europe
15,Estonia,171.09,Safety Index,77,Europe
15,Estonia,171.09,Health Care Index,71.3,Europe
15,Estonia,171.09,Cost of Living Index,49.5,Europe
15,Estonia,171.09,Property Price to Income Ratio,10.54,Europe
15,Estonia,171.09,Traffic Commute Time Index,26.71,Europe
15,Estonia,171.09,Pollution Index,17.71,Europe
15,Estonia,171.09,Climate Index,44.56,Europe
